"id","game_id","sub_genre_id"
1,1,26
2,2,26
3,4,26
4,7,4
5,8,42
6,9,5
7,12,1
8,13,6
9,14,7
10,14,8
11,15,3
12,15,17
13,16,3
14,18,6
15,18,42
16,19,6
17,19,7
18,19,8
19,19,26
20,20,3
21,21,7
22,22,4
23,23,43
24,23,44
25,24,2
26,25,7
27,25,8
28,25,26
29,25,44
30,25,45
31,26,3
32,26,7
33,26,8
34,26,26
35,27,14
36,28,26
37,28,45
38,28,46
39,29,6
40,29,7
41,29,26
42,30,6
43,31,1
44,31,2
45,32,1
46,32,2
47,33,2
48,33,7
49,34,7
50,34,8
51,35,26
52,35,32
53,35,46
54,36,26
55,36,32
56,36,46
57,37,26
58,37,32
59,37,46
60,38,7
61,38,8
62,38,9
63,39,7
64,40,8
65,40,9
66,40,26
67,41,7
68,41,8
69,42,7
70,42,8
71,43,3
72,44,4
73,44,46
74,45,3
75,46,6
