"id","assigned_date","role","modified_date","user_id"
1,2023-03-13 00:00:00.000,ROLE_USER,,1
2,2023-03-13 00:00:00.000,ROLE_USER,,2
3,2023-03-13 00:00:00.000,ROLE_USER,,3
4,2023-03-13 00:00:00.000,ROLE_USER,,4
5,2023-03-13 00:00:00.000,ROLE_USER,,5
6,2023-03-13 00:00:00.000,ROLE_USER,,6
7,2023-03-13 00:00:00.000,ROLE_USER,,7
8,2023-03-13 00:00:00.000,ROLE_USER,,8
9,2023-03-13 00:00:00.000,ROLE_USER,,9
10,2023-03-13 00:00:00.000,ROLE_USER,,10
11,2023-03-13 00:00:00.000,ROLE_USER,,11
12,2023-03-13 00:00:00.000,ROLE_USER,,12
13,2023-03-13 00:00:00.000,ROLE_USER,,13
14,2023-03-13 00:00:00.000,ROLE_USER,,14
15,2023-03-13 00:00:00.000,ROLE_USER,,15
16,2023-03-13 00:00:00.000,ROLE_USER,,16
17,2023-03-13 00:00:00.000,ROLE_USER,,17
18,2023-03-13 00:00:00.000,ROLE_USER,,18
19,2023-03-13 00:00:00.000,ROLE_USER,,19
20,2023-03-13 00:00:00.000,ROLE_USER,,20
21,2023-03-13 00:00:00.000,ROLE_USER,,21
22,2023-03-13 00:00:00.000,ROLE_USER,,22
23,2023-03-13 00:00:00.000,ROLE_USER,,23
24,2023-03-13 00:00:00.000,ROLE_USER,,24
25,2023-03-13 00:00:00.000,ROLE_USER,,25
26,2023-03-13 00:00:00.000,ROLE_ADMIN,,25
