"id","game_code","status","game_id"
31,zxcvbn456QWER,Used,1
32,asdfgh789ZXCV,Used,1
33,"123456abcQWER",Used,1
296,vlkhg89T01s2QaRS,Available,12
297,zvcvbdCsB34sa5TUV,Available,12
298,asvd56GRa67sa8WY,Available,12
299,qwet78UfsIas90ZAB,Available,12
300,poiuvy2OKfIa23sB,Available,12
301,mnbvcv5PLMaa57EFG,Available,12
302,lkjh67vNBaV0sHIJ,Available,12
303,zxc89MNva2dKLsO,Available,12
304,asfg01345QsRS,Available,12
305,qert2a3Ev678sTUddV,Available,12
36,poiuyt321HJKL,Available,1
37,mnbvcx654UIOP,Available,1
38,lkjhgf987ASDF,Available,1
39,"0987poiuytZXCV",Available,1
40,NBVCXZ123QWERTY,Available,1
41,ASDFGH456LKJHGF,Available,1
42,qwerty789POIUYT,Available,1
43,"123456zxcvBNMVC",Available,1
44,poiuytqwerASDFG,Available,1
45,LKJHGFDSAZXCVB,Available,1
46,mnbvcxzxcbQAZWS,Available,1
47,QWERTYUIOP09876,Available,1
48,"1234567890NBVCX",Available,1
49,POIUYTREWQASDFG,Available,1
50,LKJHGFDSAQWERTY,Available,1
64,"345mnoCVB",Available,2
65,"678pqrVFD",Available,2
66,"901stuGTR",Available,2
67,"234vwxYUI",Available,2
68,"567yzOKI",Available,2
69,abc123PLM,Available,2
70,def456NBV,Available,2
84,"901stuVFD",Available,3
85,"234vwxGTR",Available,3
86,"567yzYUI",Available,3
87,abc123OKI,Available,3
88,def456PLM,Available,3
89,ghi789NBV,Available,3
90,jkl012MNB,Available,3
306,poiuaZXCv91sWXdY,Available,12
307,mnbac8EDC3sv4ZAsB,Available,12
308,lkahs90RV56sv7BCD,Available,12
309,zacb3s4GB89s0vEFG,Available,12
310,adg67HJK012asHvIJ,Available,12
311,wrt8LsKM34a5ssKLO,Available,12
312,poiy2HsY6sa78sQRS,Available,12
116,"345mnoTUV",Available,4
117,"678pqrWXY",Available,4
118,"901stuZAB",Available,4
51,abc123XYZ,Used,2
71,ghi789QWE,Used,3
103,abc123FGH,Used,4
52,def456QWE,Used,2
72,jkl012ASD,Used,3
104,def456JKL,Used,4
53,ghi789ASD,Used,2
73,mno345ZXC,Used,3
105,ghi789MNO,Used,4
54,jkl012ZXC,Used,2
74,pqr678QAZ,Used,3
106,jkl012PQR,Used,4
55,mno345QAZ,Used,2
75,stu901WSX,Used,3
107,mno345STU,Used,4
56,pqr678WSX,Used,2
76,vwx234EDC,Used,3
108,pqr678VWX,Used,4
57,stu901EDC,Used,2
77,yz567RFV,Used,3
109,stu901YZA,Used,4
58,vwx234RFV,Used,2
78,"123abcTGB",Used,3
110,vwx234BCD,Used,4
59,yz567TGB,Used,2
79,"456defHJK",Used,3
111,yz567EFG,Used,4
60,"123abcHJK",Used,2
80,"789ghiLKM",Used,3
112,"123abcHIJ",Used,4
61,"456defLKM",Used,2
81,"012jklNHY",Used,3
113,"456defKLM",Used,4
119,"234vwxCDE",Available,4
120,"567yzFGH",Available,4
121,abc123IJK,Available,4
122,def456LMN,Available,4
135,qwert78YUI901ZAB,Available,6
136,poiuy23OKI234BCD,Available,6
137,mnbvc45PLM567EFG,Available,6
138,lkjhg67NBV890HIJ,Available,6
139,zxcvb89MNB012KLO,Available,6
140,asdfg01ASD345QRS,Available,6
141,qwert23QWE678TUV,Available,6
142,poiuy56ZXC901WXY,Available,6
143,mnbvc78EDC234ZAB,Available,6
144,lkjhg90RFV567BCD,Available,6
145,zxcvb34TGB890EFG,Available,6
146,asdfg67HJK012HIJ,Available,6
147,qwert89LKM345KLO,Available,6
148,poiuy12NHY678QRS,Available,6
149,mnbvc56BGT901TUV,Available,6
150,lkjhg78CVB234WXY,Available,6
151,zxcvb90GTR567ZAB,Available,6
156,lkjhg01MNB901QRS,Available,7
157,zxcvb12ASD234TUV,Available,7
158,asdfg34QWE567WXY,Available,7
159,qwert56ZXC890ZAB,Available,7
160,poiuy78EDC012BCD,Available,7
161,mnbvc90RFV345EFG,Available,7
162,lkjhg23TGB678HIJ,Available,7
163,zxcvb45HJK901KLO,Available,7
164,asdfg67LKM234QRS,Available,7
165,qwert78NHY567TUV,Available,7
166,poiuy89BGT890WXY,Available,7
167,mnbvc01CVB012ZAB,Available,7
183,mnbvc45PLMa5g67EFG,Available,8
184,lkjhg67NBV89e0HIJ,Available,8
154,poiuy67PLM345HIJ,Used,7
155,mnbvc89NBV678KLO,Used,7
62,"789ghiNHY",Used,2
63,"012jklBGT",Used,2
83,"678pqrCVB",Used,3
115,"012jklQRS",Used,4
34,XYZ987pqrLKJH,Used,1
35,QAZWSX789MNBV,Used,1
134,asdfg56GTR678WXY,Used,6
185,zxcvb89MNB012dKLO,Available,8
186,asdfg01ASD345QsRS,Available,8
187,qwert23QWE678TUddV,Available,8
188,poiuy56ZXC901WXdY,Available,8
189,mnbvc78EDC234ZAsB,Available,8
190,lkjhgs90RFV567BCD,Available,8
191,zxcvb3s4TGB890EFG,Available,8
192,asdfg67sHJK012HIJ,Available,8
193,qwert89LsKM345KLO,Available,8
194,poiuy12NHsY678QRS,Available,8
219,zxc89MNaB012dKLO,Available,9
220,asfg01aASD345QsRS,Available,9
221,qert2a3QWE678TUddV,Available,9
222,poiuay56ZXC91WXdY,Available,9
223,mnbavc78EDC34ZAsB,Available,9
224,lkajhgs90RV567BCD,Available,9
225,zaxcvb3s4GB890EFG,Available,9
226,asdfg67HJK012aHIJ,Available,9
227,qwert8LsKM34a5KLO,Available,9
